reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
b917340b-aff1-4172-951d-fecbffbab64f,kitty exe has stopped working,https://play-lh.googleusercontent.com/a-/ACNPEu8viUy9SY4lCoY08irHPC5FNYAivMLg7w4I6iVjgw,Very useful. Can defenetly save lives.,5,0,4.3.3,2022-10-19 17:50:43,,
15b807cc-2afe-411e-82c2-e57065f0a7ae,John,https://play-lh.googleusercontent.com/a-/ACNPEu9YGDexpcu1Cyk_pmPqNQoDdsvecd9-KedyNyiE2Q,"Trafikmeddelande kommer ofta endast på Finska, och om de kommer på svenska så är det när varningen inte längre är relevant... Har inte använt några av de andra funktionerna så kan inte ge någon recension för resten av appen",3,0,4.3.3,2022-10-13 15:46:43,,
fab8f70d-25cb-4072-986e-161f007fdb6f,Uuno Turhapuro,https://play-lh.googleusercontent.com/a/ALm5wu0hAWEH8bezvxKRLOKD1lBrlw5BPICvBPNbTLFBLQ=mo,"Akun säästämiseksi sovellus voisi tukea tummaa teemaa. Käyttöliittymältään sovellus poikkeaa tavanomaisista Android sovelluksista. Sovellus voisi noudattaa käyttöliittymän osalta Androidin natiiveja komponentteja. Sijaintiedon käyttö taustalla lisää huomattavasti akun kulutusta. Ei varmasti olisi iso työ lokalisoida sovellus myös venäjäksi, viroksi, ranskaksi, saksaksi jne...",3,0,4.3.3,2022-08-22 16:49:48,,
3d1d2baa-970f-43eb-9101-065edb7138aa,Lasse Reinikainen,https://play-lh.googleusercontent.com/a/ALm5wu3vcUofaSLiEWqOU3He5SA86UHITTfF8tMNlrho=mo,"Sovellus on käyttökelvoton, koska se ruinaa kahden sekunnin välein Google location services sallimista. No thanks vastaaminen ei auta.",1,1,4.3.3,2022-07-20 10:13:00,,
7d3e4bad-4bf3-4bf5-abd0-c09e219fcc90,Nuolipyssy klipit,https://play-lh.googleusercontent.com/a-/ACNPEu9WVd2BRr6stTG1TNawQBiOpUiP65Ya2QehgAnVJQ,i killed my dog änd i tindint ket eny help.,1,0,2.0.19433,2022-05-21 22:45:47,,
d1676e18-00a3-4934-b4d4-82128b954253,Antti Kukkonen,https://play-lh.googleusercontent.com/a-/ACNPEu_-OcBgmJWr7sRJVf1xGpDCqXyzrlyufYSctvgh4Q,"Avasin äpin katsoakseni miten toimii. Ei puhettakaan, että olisi antanut soittaa hätäpuhelun. Ensin piti päättää kymmenestä asetuksesta. Ette voi olla näin typeriä! Hätätilanteessa oleva ihminen ei halua päättää sadasta asetuksesta, vaan saada apua. Teidän tulee HETI tehdä asialle jotain!",1,0,4.3.3,2022-04-18 14:33:56,,
d73dac0a-d818-4ec6-ab16-b96732bb9fd5,vesa,https://play-lh.googleusercontent.com/a/ALm5wu34cbDW1VPBd_k503Zr82gIxYsDv8an21Vhflii=mo,"rn-push-notification-channel -ilmoitukset (3 kpl), sekä TSLocationManager -ilmoitus asetuksissa. Vaikea sanoa mitä nuo ovat, mutta ainakin liikennetiedotteita tulee, vaikka ""Liikennetiedotteet"" on pois päältä.",3,0,4.3.3,2022-03-22 09:00:04,,
1eb79e77-2076-4c24-9846-37c90440ae54,John Collin,https://play-lh.googleusercontent.com/a/ALm5wu2L7rbTmJ3XpjMJv1cFhvMc3r2nQ1DI4iYa3-_h=mo,"En tiedä, toimiiko viranomaishälytykset, kun en saa sovelluksesta minkäänlaisia säännöllisiä koeilmoituksia. Tänne eivät kuulu yleiset sireenillä annetut hälytykset enkä kuuntele radiota jatkuvasti. Esim. ydinonnettomuudessa joditabletit pitää ottaa oikea-aikaisesti viranomaisohjeen mukaan. En tiedä toimiiko tämä tarvittaessa? Tämä näkyy olevan ainoa kanava palautteen antamiseksi. Toivottavasti menee perille kehittäjille.",1,0,4.3.3,2022-03-16 07:19:58,,
dd1aafc3-bdd4-47a0-aba7-01dd669d075d,Mats Ångerman,https://play-lh.googleusercontent.com/a-/ACNPEu__t5AI-k1lBxzPrW7wIh2t6GpRBd8Y-ptUIm3R,"Verkligen jättebra man har sin position genast, bara man har kontakt med gps eller telefon master-och ström i batteriet :)))",4,0,4.3.3,2022-02-21 18:38:53,,
1da09446-e203-415d-8998-7cb40b87ff79,Jimi Korkala,https://play-lh.googleusercontent.com/a-/ACNPEu-4bR_1b9wtXv42wZ1sG2MF6aIc7s7Q56UfwEywuA,Pelastuslaitokset suosittelevat ja häke suosittelee. Eiole ollut tarvetta soittaa. Monta tuhatta puhelua on soitettu tämän kautta (muut soittaneet tilastojen mukaan) ja 500 000 latausta pelastaa ihmishenkiä suosittelen :-),5,2,4.2.21,2022-02-11 15:11:38,,
